,ORDER_ID,COMPANY_ID,SERVICE_LINE,DRIVER_TYPE,WEIGHT_LBS,VOLUME_IN3,EXPENSE,PICKUP_ZIP,DELIVERY_ZIP
81,100082,980,1,commander,1.0,189.75,188.57,11790,07608
82,100083,157,1,commander,1.0,1.0,169.89,38118,72205
83,100084,458,1,commander,70.0,13824.0,175.66,91406,92262
84,100085,571,1,commander,2.0,8.0,32.49,84041,84403
85,100086,980,1,commander,1.0,128.0,78.62,10467,10595
86,100087,678,1,commander,1.0,1.0,93.44,92835,92346
87,100088,587,1,commander,60.0,9918.0,287.93,77054,76104
88,100089,1115,1,commander,1.0,1.0,32.99,29405,29406
89,100090,157,1,commander,10.0,1.0,72.3,53207,61115
90,100091,582,1,commander,1.0,1.0,55.83,92179,92126
91,100092,1127,1,commander,1.0,1.0,63.98,90638,92706
92,100093,1297,1,commander,30.0,18000.0,161.21,60605,53202
93,100094,435,1,commander,1.0,1.0,46.61,98007,98004
94,100095,933,1,commander,2.0,2.0,63.1,93534,93534
95,100096,157,1,commander,1.0,1.0,81.61,35124,35453
96,100097,1127,1,agent,50.0,2000.0,0.0,90638,91791
97,100098,1127,1,agent,50.0,2000.0,241.02,90638,92706
98,100099,1127,1,commander,1.0,1.0,31.33,90638,91791
99,100100,172,1,commander,30.0,13824.0,39.97,34209,33606
100,100101,172,1,commander,30.0,13824.0,200.53,34209,33606
101,100102,678,1,commander,1.0,1.0,54.85,92805,91007
102,100103,980,1,commander,1.0,189.75,301.16,11794-8410,19123
103,100104,933,1,commander,1.0,1.0,46.41,93534,93534
104,100105,172,1,commander,1.0,4.0,21.33,34209,33619
105,100106,435,1,commander,1.0,1.0,46.22,98007,98004
106,100107,502,1,commander,6.0,384.0,31.62,73034,73104
107,100108,869,1,agent,24.0,4608.0,238.25,97227,97701
108,100109,502,1,commander,6.0,384.0,25.79,73034,73104
109,100110,1072,1,commander,5.0,125.0,268.83,33178,33982
110,100111,573,1,commander,5.0,125.0,151.53,92352,92346
111,100112,715,1,commander,1.0,1.0,37.29,98109,98134
112,100113,107,1,commander,5.0,125.0,183.28,95350,94118
113,100114,502,1,commander,6.0,384.0,34.05,73034,73112
114,100115,107,1,agent,15.0,3375.0,192.63,95350,94109
115,100116,909,1,commander,5.0,3456.0,83.61,30096,30117
116,100117,435,1,commander,1.0,1.0,34.57,98029,98004
117,100118,1072,1,commander,10.0,1000.0,382.75,33172,34243
118,100119,1127,1,commander,5.0,1728.0,45.83,90638,91791
119,100120,980,1,commander,60.0,10050.0,85.92,11203,10017
120,100121,668,1,commander,60.0,2352.0,27.41,78229,78229
121,100122,909,1,commander,5.0,3456.0,41.96,30096,30046
122,100123,458,1,agent,5.0,1215.0,254.0,33607,34996
123,100124,980,1,commander,60.0,10050.0,45.46,10065,10017
124,100125,14,1,commander,4.0,693.0,180.08,83709,90045
125,100126,909,1,commander,5.0,3456.0,246.11,30096,29325
126,100127,808,1,commander,1.0,1.0,42.34,98683,97230
127,100128,909,2,agent,200.0,48384.0,93.06,30096,30344
128,100129,149,1,commander,9.0,2304.0,101.89,90045,90045
129,100130,107,1,commander,15.0,2197.0,80.19,95350,94583
130,100131,107,1,commander,15.0,2197.0,53.17,95350,94583
131,100132,980,1,agent,1.0,189.75,82.6,10011,10016
132,100133,1256,1,agent,5.0,1728.0,87.73,33614,33705
133,100134,980,1,agent,1.0,189.75,126.48,10011,10467
134,100135,214,1,agent,5.0,125.0,619.92,48108,15238
135,100136,678,1,commander,1.0,1.0,73.48,92614,91007
136,100137,678,1,commander,1.0,1.0,51.04,90815,91007
137,100138,980,1,agent,1.0,189.75,87.75,10011,10032
138,100139,980,1,commander,1.0,189.75,35.55,10461,10029
139,100140,1256,1,commander,5.0,1728.0,98.12,33614,34652
140,100141,909,1,commander,5.0,3456.0,91.27,30096,30165
141,100142,980,1,agent,1.0,189.75,62.16,10011,10021
142,100143,869,1,commander,24.0,4608.0,360.23,97227,97420
143,100144,980,1,commander,1.0,189.75,65.29,10461,10016
144,100145,869,1,commander,24.0,4913.0,98.23,97227,97330
145,100146,1186,1,commander,1.0,1.0,46.16,92064,92111
146,100147,587,1,commander,30.0,4704.0,318.89,76104,77054
147,100148,589,1,commander,60.0,9918.0,216.65,76508,77054
148,100149,980,1,commander,60.0,10050.0,54.68,10016,10017
149,100150,1127,1,agent,25.0,1000.0,53.4,90638,91791
150,100151,654,1,commander,15.0,2925.0,92.21,98104,98223
151,100152,567,1,commander,5.0,2744.0,326.8,91789,86429
152,100153,573,1,commander,1.0,1.0,120.53,91768,92675
153,100154,808,1,commander,1.0,1.0,54.85,97005,97216
154,100155,589,1,commander,2.0,115.0,53.79,77030,77030
155,100156,678,1,commander,1.0,1.0,61.63,92649,91007
156,100157,654,1,commander,15.0,2925.0,85.67,98223,98104
157,100158,839,1,commander,20.0,3375.0,63.55,76021,75234
158,100159,1186,1,commander,30.0,1728.0,46.89,92029,92064
159,100160,1186,1,commander,1.0,1.0,53.72,92029,92064
160,100161,1072,1,agent,3.0,672.0,178.96,41048,46241
161,100162,371,1,commander,1.0,1.0,104.96,95687,95834
162,100163,107,1,commander,20.0,237.0,67.87,94602,94118
163,100164,839,1,commander,20.0,3375.0,83.44,76021,75032
164,100165,678,1,commander,1.0,1.0,79.67,92610,91007
165,100166,1186,1,commander,1.0,1.0,100.86,92064,92029
166,100167,107,1,commander,10.0,648.0,69.05,94602,94583
167,100168,869,1,agent,24.0,4913.0,392.46,97227,97504
168,100169,809,2,agent,158.0,8476.0,317.02,10604,07608
169,100170,1186,1,commander,3.0,1.0,114.74,92064,92025
170,100171,1186,1,commander,1.0,1200.0,43.96,92029,92025
171,100172,1186,1,commander,1.0,1200.0,47.87,92064,92025
172,100173,1186,1,commander,1.0,1728.0,55.04,92029,92111
173,100174,571,1,agent,5.0,216.0,42.41,84041,84403
174,100175,980,1,commander,60.0,10050.0,52.5,10016,10017
175,100176,35,1,commander,5.0,1500.0,179.64,07114,08628
176,100177,678,1,commander,1.0,1.0,90.0,92614,91007
177,100178,839,1,commander,20.0,3375.0,61.31,76021,75033
178,100179,107,1,commander,10.0,648.0,111.79,95350,94583
179,100180,869,1,commander,38.0,6805.0,134.26,97227,97330
180,100181,980,1,commander,1.0,189.75,74.83,10461,10021
181,100182,980,1,agent,1.0,189.75,46.87,10461,10595
182,100183,980,1,commander,1.0,189.75,38.84,10461,10467
183,100184,980,1,agent,1.0,189.75,56.14,10461,11203
184,100185,107,1,commander,20.0,1474.875,33.75,94602,94583
185,100186,107,1,commander,20.0,1474.875,225.49,94602,94583
186,100187,980,1,commander,1.0,189.75,53.58,10461,10032
187,100188,149,1,commander,1.0,441.0,86.19,30297,30354
188,100189,30,1,agent,30.0,8000.0,262.17,27707,27834
189,100190,980,1,agent,1.0,189.75,120.54,10461,11794-8410
190,100191,179,1,commander,10.0,2592.0,329.3,77550,75231
191,100192,179,1,commander,5.0,1296.0,401.56,77550,75230
192,100193,667,2,commander,330.0,88000.0,579.12,94577,91355
193,100194,980,1,commander,1.0,189.75,44.58,10457-2594,10029
194,100195,839,1,commander,30.0,3887.0,66.65,76021,76201
195,100196,107,1,commander,15.0,3375.0,28.85,94583,94143
196,100197,589,1,agent,1.0,18.0,51.48,77008,77030
197,100198,448,1,agent,1.0,5832.0,68.5,92123,92103
198,100199,1115,1,agent,5.0,1.0,44.21,75006,75019
199,100200,107,1,commander,2.0,112.0,34.91,94583,94118
200,100201,589,1,agent,1.0,18.0,44.46,77008,77030
201,100202,448,1,agent,10.0,5832.0,84.26,92103,92123
202,100203,980,1,commander,20.0,8000.0,85.97,10017,10029
203,100204,1069,2,agent,450.0,405000.0,583.22,77072,75063
204,100205,1115,1,commander,15.0,2000.0,136.98,33179,33315
205,100206,371,1,commander,1.0,1.0,113.42,95671,95834
206,100207,1072,1,commander,3.0,1296.0,389.95,34243,32025
207,100208,1256,1,agent,15.0,3456.0,140.43,72202,71901
208,100209,371,1,agent,1.0,1.0,84.53,95687,95834
209,100210,448,1,commander,1.0,5832.0,46.47,92123,92037
210,100211,30,1,commander,27.0,3591.0,80.64,27707,27157
211,100212,869,1,commander,42.0,6805.0,150.58,97227,97330
212,100213,1256,1,commander,8.0,1728.0,178.68,38116,72150
213,100214,909,1,commander,10.0,6912.0,115.11,30096,31061
214,100215,573,1,commander,2.0,2.0,57.06,92882-3320,92346
215,100216,30,1,commander,27.0,3591.0,126.32,27707,27103
216,100217,193,1,commander,3.0,576.0,42.35,33172,33178
217,100218,982,1,commander,12.0,640.0,55.14,33018,33317
218,100219,982,1,commander,3.0,18.0,66.31,33316,33317
219,100220,841,1,commander,1.0,1.0,22.21,76021,76201
220,100221,157,1,commander,1.0,1.0,166.94,38118,72205
221,100222,841,1,commander,2.0,2.0,33.17,76104,76201
222,100223,841,1,commander,2.0,2.0,24.98,75028,76201
223,100224,980,1,commander,1.0,189.75,44.77,10461,10021
224,100225,841,1,commander,25.0,3456.0,34.3,75063,76201
225,100226,321,1,agent,1.0,2197.0,222.71,48242,44135
226,100227,371,1,commander,1.0,1.0,32.22,95608,95834
227,100228,149,1,commander,11.023,960.0,33.43,60131,60666
228,100229,571,1,commander,2.0,8.0,34.15,84010,84107-5700
229,100230,841,1,commander,1.0,1.0,41.04,76248,76201
230,100231,371,1,commander,1.0,1.0,25.72,95819,95834
231,100232,808,1,commander,1.0,1.0,39.43,97005,97230
232,100233,371,1,commander,1.0,1.0,51.2,95688,95834
233,100234,573,1,commander,1.0,1.0,39.36,92336-1274,92346
234,100235,573,1,commander,1.0,1.0,55.56,92503,92346
235,100236,841,1,commander,1.0,1.0,39.91,75093,76201
236,100237,573,1,commander,1.0,1.0,37.9,92346,92346
237,100238,715,1,commander,1.0,1.0,65.9,98033,98134
238,100239,436,1,agent,5.0,1000.0,42.68,98122,98104
239,100240,1127,1,agent,25.0,1000.0,0.0,90638,92706
240,100241,157,1,agent,3.0,1.0,193.8,15317,26330
241,100242,1127,1,agent,25.0,1000.0,294.37,90638,91791
242,100243,654,1,commander,25.0,2925.0,106.32,98104,98312
243,100244,573,1,commander,2.0,2.0,68.25,92882-3320,92346
244,100245,573,1,commander,1.0,1.0,53.96,92879,92346
245,100246,573,1,commander,1.0,1.0,55.56,92553,92346
246,100247,808,1,agent,2.0,2.0,29.43,98642,97230
247,100248,982,1,commander,12.0,800.0,62.07,33143,33317
248,100249,917,1,agent,15.0,7800.0,120.41,25302,45750
249,100250,1127,1,agent,12.0,125.0,69.63,90638,91791
250,100251,917,1,commander,50.0,5200.0,114.73,43116,45224
251,100252,1127,1,agent,3.0,3.0,75.04,92706,90638
252,100253,1182,1,commander,33.45,8100.0,79.1,85212,85304
253,100254,1072,1,commander,29.0,4200.0,306.38,32773,32025
254,100255,917,1,commander,30.0,5200.0,168.37,48073,49048
255,100256,571,1,commander,2.0,8.0,93.14,84107,84341-2455
256,100257,841,1,commander,2.0,2.0,34.15,76104,76201
257,100258,917,2,agent,125.0,13000.0,339.33,40215,46804
258,100259,909,1,commander,15.0,10368.0,47.86,30096,30309
259,100260,14,2,agent,130.0,55692.0,1174.5,12020,11430
260,100261,678,1,commander,1.0,1.0,44.81,92673,92868
261,100262,654,1,commander,25.0,2925.0,91.26,98312,98104
262,100263,841,1,commander,1.0,1.0,23.94,75063,76201
263,100264,715,1,commander,1.0,1.0,85.91,98006,98405
264,100265,316,1,agent,1.0,441.0,27.65,30297,30337
265,100266,316,1,agent,1.0,441.0,35.0,30297,30337
266,100267,1056,1,commander,1.0,1.0,72.95,91730,91316
267,100268,662,1,commander,1.0,84.0,148.17,30606,30004
268,100269,573,1,commander,1.0,1.0,48.47,91711,92346
269,100270,841,1,commander,1.0,1.0,33.72,76248,76201
270,100271,909,1,commander,5.0,3456.0,62.84,30096,30303
271,100272,573,1,commander,1.0,1.0,45.08,92553,92346
272,100273,570,1,commander,30.0,6831.0,70.01,98405,98104
273,100274,662,1,agent,5.0,1000.0,50.76,30680,30004
274,100275,841,1,commander,1.0,1.0,23.47,76021,76201
275,100276,573,1,commander,5.0,125.0,110.98,92352,92346
276,100277,841,1,commander,1.0,1.0,49.32,75093,76201
277,100278,371,1,commander,1.0,1.0,81.71,95688,95834
278,100279,1186,1,commander,1.0,1.0,98.54,92029,92111
279,100280,841,1,commander,1.0,1.0,35.12,75028,76201
280,100281,573,1,commander,1.0,1.0,62.36,91767,92346
281,100282,662,1,commander,10.0,125.0,34.32,30004,30004
282,100283,1056,1,commander,1.0,1.0,84.5,91730,90277
283,100284,573,1,commander,2.0,2.0,48.67,92882-3320,92346
284,100285,435,1,commander,1.0,1.0,38.58,98052,98004
285,100286,435,1,commander,1.0,1.0,29.78,98029,98004
286,100287,1127,1,commander,1.0,1.0,39.36,90638,92706
287,100288,570,1,commander,5.0,1728.0,123.46,98405,98520
288,100289,715,1,commander,1.0,1.0,59.37,98166,98405
289,100290,945,2,agent,250.0,29160.0,51.46,83634,83705
290,100291,1127,1,agent,25.0,1000.0,0.0,90638,91791
291,100292,1127,1,agent,25.0,1000.0,234.0,90638,92706
292,100293,1146,1,agent,8.0,1152.0,42.57,70001,70062
293,100294,909,1,agent,65.0,44928.0,122.55,30096,30165
294,100295,439,1,agent,3.0,1215.0,192.17,46241,45226
295,100296,680,1,commander,1.0,1.0,121.13,92270,92675
296,100297,678,1,commander,2.0,2.0,75.85,92673,92868
297,100298,371,1,commander,1.0,1.0,32.06,95630,95834
298,100299,680,1,commander,1.0,1.0,132.15,92253,92346
299,100300,173,1,commander,15.0,3375.0,36.84,30071,30309
300,100301,1127,1,agent,1.0,1.0,71.66,92706,90638
301,100302,101,1,agent,4.0,5488.0,30.5,37203,37205
302,100303,436,1,agent,5.0,1000.0,45.59,98122,98104
303,100304,448,1,commander,1.0,5832.0,39.09,92123,92120
304,100305,909,1,commander,10.0,6912.0,25.39,30096,30046
305,100306,1256,1,commander,5.0,1728.0,134.08,29418,31401
306,100307,808,1,commander,1.0,1.0,35.87,98664,97230
307,100308,573,1,commander,1.0,1.0,49.64,92553,92346
308,100309,980,1,commander,1.0,189.75,50.63,10017,10467
309,100310,573,1,commander,2.0,2.0,42.47,92506,92346
310,100311,662,1,commander,1.0,1.0,54.37,30501,30004
311,100312,157,2,agent,208.0,15288.0,681.43,30349,72202
312,100313,808,1,commander,1.0,1.0,39.04,97219,97230
313,100314,909,1,commander,5.0,3456.0,109.57,30096,30286
314,100315,570,1,commander,5.0,1300.0,108.98,98520,98405
315,100316,573,1,commander,2.0,2.0,44.55,92506,92346
316,100317,909,1,commander,5.0,3456.0,62.49,30096,30344
317,100318,808,1,commander,2.0,2.0,37.56,98683,97230
318,100319,573,1,commander,1.0,1.0,56.93,92553,92346
319,100320,1163,1,agent,1.0,1.0,114.21,56001,55112
320,100321,980,1,commander,1.0,189.75,57.47,10017,10032
321,100322,909,1,commander,5.0,1728.0,177.14,30096,31901
322,100323,214,1,agent,1.0,1.0,152.0,48503,48108
323,100324,371,1,agent,1.0,1.0,89.25,95747,95834
324,100325,980,1,commander,1.0,189.75,44.06,10017,10029
325,100326,371,1,commander,1.0,1.0,84.0,95640,95834
326,100327,1186,1,commander,1.0,512.0,73.52,92029,92103
327,100328,157,1,agent,1.0,1.0,320.3,38118,37055
328,100329,1127,1,agent,25.0,1000.0,0.0,90638,92706
329,100330,982,2,commander,99.0,43697.0,105.99,33331,33065
330,100331,1127,1,agent,25.0,1000.0,0.0,90638,91791
331,100332,1163,1,agent,1.0,1.0,191.43,55807,55112
332,100333,448,1,commander,1.0,5832.0,33.16,92123,92037
333,100334,668,2,agent,162.0,38777.0,237.67,78229,78665
334,100335,435,1,commander,1.0,1.0,41.96,98029,98004
335,100336,715,1,commander,1.0,1.0,58.86,98166,98405
336,100337,173,1,commander,15.0,3375.0,193.59,30071,30912
337,100338,573,1,commander,1.0,1.0,73.31,92395,92346
338,100339,602,1,commander,2.0,187.5,118.38,60805,60143
339,100340,214,1,agent,1.0,125.0,156.0,48532,48108
340,100341,680,1,commander,1.0,1.0,97.2,92270,92346
341,100342,678,1,commander,1.0,1.0,81.22,92614,91007
342,100343,30,1,commander,50.0,11664.0,132.63,27707,27157
343,100344,839,1,commander,10.0,512.0,118.61,76021,76458
344,100345,573,1,commander,1.0,1.0,95.73,92592,92503
345,100346,1163,1,agent,1.0,1.0,292.26,56501,55112
346,100347,1163,1,agent,1.0,1.0,10.8,56307,55112
347,100348,105,1,commander,5.0,1000.0,131.49,90012,92123
348,100349,980,1,commander,1.0,288.0,86.07,10901-4869,10461
349,100351,371,1,agent,1.0,1.0,0.0,95963,95834
350,100352,371,1,agent,1.0,1.0,145.25,95973,95834
351,100350,371,1,agent,1.0,1.0,0.0,95965,95834
352,100353,980,1,commander,1.0,100.0,226.21,10466,19123
353,100354,668,1,commander,0.25,72.0,135.03,78665,78229
354,100357,667,1,agent,1.0,1.0,112.63,94564,94577
355,100355,193,1,commander,50.0,6825.0,374.71,91910,90045
356,100356,667,1,agent,1.0,1.0,191.12,94531,94577
357,100358,667,1,commander,1.0,1.0,98.65,94533,94577
358,100359,667,1,commander,1.0,1.0,41.47,94577,94577
359,100360,667,1,commander,1.0,1.0,100.28,94589,94577
360,100361,667,1,commander,1.0,1.0,38.88,94605,94577
361,100362,667,1,commander,1.0,1.0,66.17,94566,94577
362,100363,667,1,commander,1.0,1.0,56.06,94566,94577
363,100364,667,1,commander,1.0,1.0,49.05,94588,94577
364,100365,667,1,commander,1.0,1.0,44.58,94544,94577
365,100366,667,1,commander,1.0,1.0,64.41,94539,94577
366,100367,30,1,commander,40.0,16000.0,112.41,27610,27834
367,100368,680,1,commander,1.0,1.0,19.07,92201,92503
368,100369,668,1,commander,0.25,72.0,110.8,78665,78229
369,100370,680,1,commander,1.0,1.0,18.6,92203,92503
370,100371,680,1,commander,1.0,1.0,114.08,92236,92503
371,100372,680,1,commander,1.0,1.0,22.65,92262,92503
372,100373,680,1,commander,1.0,1.0,25.27,92553,92503
373,100374,1186,1,commander,2.0,1.0,42.72,92064,92111
374,100375,582,1,commander,1.0,1.0,50.54,91910,92126
375,100376,1069,2,agent,196.0,38416.0,324.59,70647,77072
376,100377,668,1,commander,0.25,72.0,115.96,78665,78201
377,100378,1163,1,agent,1.0,1.0,318.11,56601,55112
378,100379,1163,1,agent,10.0,1.0,0.0,56431,55112
379,100380,30,1,commander,10.0,2000.0,56.81,27707,27705
380,100381,839,1,commander,20.0,3375.0,71.88,76021,75401
381,100382,980,1,commander,1.0,288.0,98.52,10901-4869,10467
382,100383,371,1,agent,1.0,1.0,408.0,95531,96001
383,100384,980,1,commander,1.0,288.0,193.43,10901,19123
384,100385,1186,1,commander,1.0,1.0,52.61,92064,92029
385,100386,567,1,commander,10.0,2592.0,96.07,60622,53207
386,100387,980,1,commander,1.0,189.75,62.15,10466,07608
387,100388,1186,1,commander,3.0,1.0,46.03,92064,92025
388,100389,980,1,commander,1.0,288.0,88.46,10901,10016
389,100390,107,1,commander,15.0,375.0,23.57,94588,94583
390,100391,107,1,commander,15.0,375.0,27.89,94588,94583
391,100392,582,1,commander,1.0,1.0,57.01,91910,92126
392,100393,980,1,commander,2.0,289.75,70.73,10466,10467
393,100394,1266,1,agent,1.0,1152.0,96.47,92064,92025
394,100395,1266,1,agent,1.0,1200.0,106.2,92029,92025
395,100396,869,1,commander,20.0,2197.0,330.09,97227,97601
396,100397,107,1,commander,15.0,375.0,71.32,94588,94118
397,100398,1314,1,agent,45.0,6144.0,714.0,70433,72113
398,100399,1072,1,commander,21.0,3960.0,216.39,32773,33762
399,100400,1186,1,commander,1.0,1728.0,59.11,92029,92111
400,100401,107,1,commander,15.0,375.0,35.02,95128,94583
401,100402,214,1,agent,5.0,175.0,127.46,48602,48108
402,100403,107,1,commander,15.0,375.0,30.88,95128,94583
403,100404,371,1,commander,1.0,1.0,78.14,95762,95834
404,100405,800,1,commander,1.0,1.0,47.49,95336,95834
405,100406,800,1,commander,1.0,1.0,33.74,95361,95834
406,100407,800,1,commander,1.0,1.0,37.91,95301,95834
407,100408,800,1,commander,1.0,1.0,46.66,95301,95834
408,100409,800,1,commander,1.0,1.0,47.91,95334,95834
409,100410,800,1,commander,1.0,1.0,44.99,95350,95834
410,100411,800,1,commander,1.0,1.0,50.41,95363,95834
411,100412,562,1,commander,1.0,48.0,265.54,07057,19713
412,100413,980,1,commander,2.0,216.0,109.29,10017,10021
413,100414,107,1,commander,15.0,375.0,99.86,95128,94118
414,100415,107,1,commander,15.0,375.0,24.16,94602,94118
415,100416,371,1,commander,20.0,1000.0,117.21,94589,95834
416,100417,107,1,commander,15.0,375.0,26.46,94602,94583
417,100418,107,1,commander,15.0,375.0,118.1,94602,94583
418,100419,980,1,commander,2.0,288.0,89.06,10901-4869,7608
419,100420,502,1,commander,40.0,3822.0,224.07,73132,75246
420,100421,179,1,commander,1.0,1.0,235.43,75601,75231
421,100422,448,1,agent,1.0,5832.0,52.06,92123,92104
422,100423,179,1,commander,1.0,1.0,136.45,75601,75230
423,100424,30,1,commander,10.0,4608.0,152.3,27707,27103
424,100425,590,1,commander,2.0,2.0,411.08,07201,03766
425,100426,846,1,commander,1.0,1.0,158.13,76137,73160
426,100427,980,1,commander,15.0,1474.875,92.3,10017,10065
427,100428,1072,2,commander,129.0,14880.0,283.52,38118,37214
428,100429,668,1,commander,0.25,72.0,46.22,78229,78229
429,100430,668,1,commander,0.25,72.0,30.3,78229,78201
430,100431,1072,2,agent,158.0,18704.0,330.2,32773,33762
431,100432,214,1,agent,1.0,125.0,168.56,48502,48108
432,100433,502,1,commander,40.0,3822.0,251.26,73132,75231
433,100434,982,1,commander,48.0,3200.0,40.13,33138,33134
434,100435,980,1,commander,30.0,2949.75,111.52,10017,10016
435,100437,448,1,agent,1.0,1.0,208.69,92037,91768
436,100436,157,1,agent,4.0,2.0,132.24,49696,49349
437,100438,667,2,commander,120.0,32000.0,512.3,94577,91355
438,100439,107,1,commander,15.0,375.0,33.03,95020,94583
439,100440,439,1,commander,1.0,150.0,112.69,27409,28208
440,100441,157,1,agent,1.0,48.0,145.79,03053,02180
441,100442,107,1,commander,15.0,375.0,26.94,95020,94583
442,100443,448,1,commander,1.0,5832.0,41.58,92123,92134
443,100444,864,1,agent,20.0,3888.0,936.25,50009,60021
444,100445,980,1,commander,1.0,189.75,96.26,10466,10029
445,100446,107,1,commander,15.0,375.0,160.43,95020,94118
446,100447,909,1,commander,5.0,3456.0,63.79,30096,30309
447,100448,980,1,commander,1.0,189.75,106.73,11754,10466
448,100449,14,2,agent,381.0,55930.0,302.06,20110,20166
449,100450,909,1,commander,12.0,10368.0,27.11,30096,30046
